Item,Description,Quantity On Hand,Quantity On Purchase Order,Price,Width,Height,Depth,Cub. ft,Weight
Cabinets(Geneva):B42-Geneva,B42-Geneva,15.00 ,20.00 ,582.00 ,33.08,5.71,43.51,4.76,92.6
Cabinets(Geneva):B48-Geneva,B48-Geneva,10.00 ,10.00 ,648.00 ,33.08,5.71,49.41,5.40,104.5
Cabinets(Geneva):BECF24-Geneva,BECF24-Geneva,8.00 ,10.00 ,400.00 ,25.20,6.11,36.03,3.21,45.9
Cabinets(Geneva):BM8-Geneva,BM8-Geneva,14.00 ,16.00 ,209.00 ,1.19,0.79,19.49,0.27,5.8
Cabinets(Geneva):BP4896-Geneva,BP4896-Geneva,97.00 ,80.00 ,239.00 ,49.22,0.91,97.45,2.52,25.4
Cabinets(Geneva):BWNT9-Geneva,BWNT9-Geneva,10.00 ,10.00 ,284.00 ,11.23,31.89,25.60,5.30,24.5
Cabinets(Geneva):DB12-Geneva,DB12-Geneva,19.00 ,20.00 ,450.00 ,25.20,6.89,38.78,3.90,65.3
Cabinets(Geneva):DB15-Geneva,DB15-Geneva,49.00 ,50.00 ,483.00 ,25.20,6.89,38.78,3.90,71.7
Cabinets(Geneva):DB18-Geneva,DB18-Geneva,38.00 ,40.00 ,516.00 ,25.20,6.89,38.78,3.90,74.3
Cabinets(Geneva):DB21-Geneva,DB21-Geneva,10.00 ,10.00 ,553.00 ,25.20,6.89,38.78,3.90,83.4
Cabinets(Geneva):DB24-Geneva,DB24-Geneva,30.00 ,30.00 ,549.00 ,25.20,6.89,38.78,3.90,87.8
Cabinets(Geneva):DC2430-Geneva,DC2430-Geneva,59.00 ,50.00 ,387.00 ,20.08,8.08,34.45,3.24,47.9
Cabinets(Geneva):DC2436-Geneva,DC2436-Geneva,39.00 ,40.00 ,419.00 ,20.08,8.08,37.60,3.53,53.6
Cabinets(Geneva):DC2442-Geneva,DC2442-Geneva,25.00 ,25.00 ,450.00 ,20.08,8.86,43.51,4.48,63.8
Cabinets(Geneva):DC2736-Geneva,DC2736-Geneva,5.00 ,5.00 ,492.00 ,24.41,8.08,37.60,4.29,62.7
Cabinets(Geneva):DC2742-Geneva,DC2742-Geneva,4.00 ,5.00 ,533.00 ,24.41,8.86,43.51,5.45,75.7
Cabinets(Geneva):DCMD2430-Geneva,DCMD2430-Geneva,14.00 ,15.00 ,209.00 ,16.15,1.78,30.12,0.50,8.9
Cabinets(Geneva):DCMD2436-Geneva,DCMD2436-Geneva,10.00 ,10.00 ,240.00 ,16.15,1.78,36.03,0.60,10.4
Cabinets(Geneva):DCMD2442-Geneva,DCMD2442-Geneva,10.00 ,10.00 ,261.00 ,16.15,1.78,41.93,0.70,11.7
Cabinets(Geneva):DCMD2736-Geneva,DCMD2736-Geneva,5.00 ,5.00 ,240.00 ,16.15,1.78,36.03,0.60,10.4
Cabinets(Geneva):DCMD2742-Geneva,DCMD2742-Geneva,5.00 ,5.00 ,261.00 ,16.15,1.78,41.93,0.70,11.7
Cabinets(Geneva):DOOR SAMPLE-Geneva, DOOR SAMPLE-Geneva,199.00 ,0.00 ,69.00 ,1.36,0.89,1.38,0.10,2.2
Cabinets(Geneva):F330-Geneva,F330-Geneva,192.00 ,160.00 ,59.00 ,0.91,0.40,3.17,0.07,1.9
Cabinets(Geneva):F342-Geneva,F342-Geneva,99.00 ,80.00 ,79.00 ,0.91,0.40,4.36,0.09,2.7
Cabinets(Geneva):F396-Geneva,F396-Geneva,49.00 ,40.00 ,149.00 ,1.03,0.79,19.49,0.23,6.1
Cabinets(Geneva):F531A45-Geneva,F531A45-Geneva,8.00 ,10.00 ,139.00 ,0.91,0.63,3.17,0.11,2.4
Cabinets(Geneva):F630-Geneva,F630-Geneva,39.00 ,35.00 ,89.00 ,0.91,0.71,3.17,0.12,3.3
Cabinets(Geneva):F642-Geneva,F642-Geneva,29.00 ,25.00 ,99.00 ,0.91,0.71,4.36,0.17,4.5
Cabinets(Geneva):F696-Geneva,F696-Geneva,19.00 ,20.00 ,209.00 ,1.46,0.99,19.49,0.41,11.2
Cabinets(Geneva):FF396-Geneva,FF396-Geneva,5.00 ,5.00 ,219.00 ,1.03,0.79,19.49,0.23,3.7
Cabinets(Geneva):FFROS3X3-Geneva,FFROS3X3-Geneva,10.00 ,10.00 ,79.00 ,0.42,0.67,0.44,0.01,0.2
Cabinets(Geneva):LRB30-Geneva,LRB30-Geneva,10.00 ,10.00 ,659.00 ,31.50,6.89,38.78,4.87,98.4
Cabinets(Geneva):LRB36-Geneva,LRB36-Geneva,10.00 ,10.00 ,714.00 ,33.08,6.89,37.60,4.96,114.5
Cabinets(Geneva):LRM8-Geneva,LRM8-Geneva,16.00 ,20.00 ,109.00 ,1.03,0.48,19.49,0.14,3.4
Cabinets(Geneva):MCROWN1-Geneva,MCROWN1-Geneva,47.00 ,40.00 ,99.00 ,0.95,0.56,19.49,0.15,1.5
Cabinets(Geneva):MCROWN2-Geneva,MCROWN2-Geneva,150.00 ,120.00 ,109.00 ,0.95,0.79,19.49,0.21,2.7
Cabinets(Geneva):MCROWN3-Geneva,MCROWN3-Geneva,244.00 ,200.00 ,189.00 ,1.15,1.11,19.49,0.36,3.9
Cabinets(Geneva):MCV8-Geneva,MCV8-Geneva,33.00 ,35.00 ,59.00 ,0.52,0.24,9.75,0.07,1.1
Cabinets(Geneva):MOC8-Geneva,MOC8-Geneva,55.00 ,50.00 ,59.00 ,0.32,0.30,9.75,0.06,1
Cabinets(Geneva):MSW8-Geneva,MSW8-Geneva,195.00 ,160.00 ,59.00 ,0.18,0.12,4.88,0.03,0.6
Cabinets(Geneva):OC3084-Geneva,OC3084-Geneva,5.00 ,4.00 ,"1,511.00 ",31.50,6.50,85.63,10.14,167.2
Cabinets(Geneva):OC3090-Geneva,OC3090-Geneva,3.00 ,3.00 ,"1,574.00 ",31.50,6.50,91.54,10.84,170
Cabinets(Geneva):OC3096-Geneva,OC3096-Geneva,2.00 ,3.00 ,"1,605.00 ",31.50,6.50,97.45,11.54,182.8
Cabinets(Geneva):PEPR335-Geneva,PEPR335-Geneva,93.00 ,80.00 ,139.00 ,26.19,2.17,36.03,1.19,10.9
Cabinets(Geneva):PREPRP1.596-Geneva,PREPRP1.596-Geneva,94.00 ,80.00 ,259.00 ,26.19,2.17,97.45,3.20,30.5
Cabinets(Geneva):REED96-Geneva,REED96-Geneva,3.00 ,10.00 ,109.00 ,0.58,0.46,9.75,0.15,1.7
Cabinets(Geneva):ROPE-Geneva,ROPE-Geneva,196.00 ,160.00 ,59.00 ,0.26,0.12,4.88,0.04,0.5
Cabinets(Geneva):SB24-Geneva,SB24-Geneva,23.00 ,30.00 ,324.00 ,25.20,5.71,36.03,3.00,41.7
Cabinets(Geneva):SB27-Geneva,SB27-Geneva,24.00 ,30.00 ,345.00 ,28.35,5.71,36.03,3.38,44.4
Cabinets(Geneva):SB30-Geneva,SB30-Geneva,88.00 ,80.00 ,377.00 ,31.50,5.71,36.03,3.75,47.7
Cabinets(Geneva):SB33-Geneva,SB33-Geneva,29.00 ,20.00 ,398.00 ,33.08,5.71,36.03,3.94,51.4
Cabinets(Geneva):SB36-Geneva,SB36-Geneva,87.00 ,80.00 ,429.00 ,33.08,5.71,37.60,4.11,55.8
Cabinets(Geneva):SB42-Geneva,SB42-Geneva,10.00 ,10.00 ,534.00 ,33.08,5.71,43.51,4.76,60.9
Cabinets(Geneva):SB48-Geneva,SB48-Geneva,5.00 ,5.00 ,608.00 ,33.08,5.71,49.41,5.40,70.6
Cabinets(Geneva):SC2430-Geneva,SC2430-Geneva,5.00 ,5.00 ,299.00 ,25.20,5.32,31.70,2.46,34.4
Cabinets(Geneva):SC2436-Geneva,SC2436-Geneva,3.00 ,5.00 ,354.00 ,25.20,5.32,37.60,2.92,39.5
Cabinets(Geneva):SC2442-Geneva,SC2442-Geneva,3.00 ,5.00 ,387.00 ,25.20,5.32,43.51,3.38,45.9
Cabinets(Geneva):SC3030-Geneva,SC3030-Geneva,3.00 ,5.00 ,321.00 ,31.50,5.32,31.70,3.08,42.4
Cabinets(Geneva):SC3036-Geneva,SC3036-Geneva,3.00 ,5.00 ,365.00 ,31.50,5.32,37.60,3.65,47.4
Cabinets(Geneva):SC3042-Geneva,SC3042-Geneva,3.00 ,5.00 ,432.00 ,31.50,5.32,43.51,4.22,55.2
Cabinets(Geneva):SCB36-Geneva,SCB36-Geneva,30.00 ,25.00 ,439.00 ,33.08,5.71,37.60,4.11,68.2
Cabinets(Geneva):SCB42-Geneva,SCB42-Geneva,24.00 ,20.00 ,472.00 ,33.08,5.71,43.51,4.76,74.6
Cabinets(Geneva):SCER33-Geneva,SCER33-Geneva,30.00 ,25.00 ,692.00 ,33.08,10.04,36.03,6.93,82.5
Cabinets(Geneva):SCER36-Geneva,SCER36-Geneva,76.00 ,70.00 ,755.00 ,36.23,10.04,36.42,7.67,87.8
Cabinets(Geneva):SFC36-Geneva,SFC36-Geneva,27.00 ,20.00 ,282.00 ,37.60,2.96,37.80,2.43,29.4
Cabinets(Geneva):SFC42-Geneva,SFC42-Geneva,2.00 ,5.00 ,377.00 ,43.51,2.96,43.71,3.25,41.7
Cabinets(Geneva):SPTRINGEND-Geneva,SPTRINGEND-Geneva,0.00 ,30.00 ,79.00 ,0.63,0.56,1.11,0.03,0.4
Cabinets(Geneva):TOE KICK-Geneva,TOE KICK-Geneva,374.00 ,320.00 ,39.00 ,0.60,0.30,9.75,0.10,2.1
Cabinets(Geneva):TP3-Geneva,TP3-Geneva,4.00 ,8.00 ,209.00 ,4.14,35.63,4.34,0.37,6.7
Cabinets(Geneva):U1584-Geneva,U1584-Geneva,5.00 ,5.00 ,807.00 ,25.20,5.71,85.63,7.13,102.8
Cabinets(Geneva):U1590-Geneva,U1590-Geneva,9.00 ,10.00 ,891.00 ,25.20,5.71,91.54,7.62,101.5
Cabinets(Geneva):U1596-Geneva,U1596-Geneva,9.00 ,10.00 ,965.00 ,25.20,5.71,97.45,8.12,114
Cabinets(Geneva):U1884-Geneva,U1884-Geneva,30.00 ,25.00 ,860.00 ,25.20,5.71,85.63,7.13,114
Cabinets(Geneva):U1890-Geneva,U1890-Geneva,25.00 ,20.00 ,923.00 ,25.20,5.71,91.54,7.62,112.7
Cabinets(Geneva):U1896-Geneva,U1896-Geneva,9.00 ,10.00 ,996.00 ,25.20,5.71,97.45,8.12,127.5
Cabinets(Geneva):U2484-Geneva,U2484-Geneva,15.00 ,15.00 ,"1,259.00 ",25.20,6.50,85.63,8.12,137
Cabinets(Geneva):U2490-Geneva,U2490-Geneva,10.00 ,10.00 ,"1,311.00 ",25.20,6.50,91.54,8.68,138.1
Cabinets(Geneva):U2496-Geneva,U2496-Geneva,10.00 ,10.00 ,"1,364.00 ",25.20,6.50,97.45,9.23,151.9
Cabinets(Geneva):V549SC-Geneva,V549SC-Geneva,20.00 ,16.00 ,99.00 ,0.91,0.63,5.06,0.17,3.8
Cabinets(Geneva):V549ST-Geneva,V549ST-Geneva,10.00 ,10.00 ,99.00 ,0.91,0.63,5.06,0.17,4.7
Cabinets(Geneva):VDB1221345-Geneva,VDB1221345-Geneva,25.00 ,20.00 ,509.00 ,22.45,6.70,36.03,3.14,57.4
Cabinets(Geneva):VSB2421345-Geneva,VSB2421345-Geneva,40.00 ,35.00 ,335.00 ,25.20,5.71,36.03,3.00,38.6
Cabinets(Geneva):VSB3021345-Geneva,VSB3021345-Geneva,40.00 ,35.00 ,387.00 ,31.50,5.71,36.03,3.75,43.5
Cabinets(Geneva):VSB3621345-Geneva,VSB3621345-Geneva,24.00 ,20.00 ,454.00 ,33.08,5.71,37.60,4.11,51.2
Cabinets(Geneva):VSB4221345-Geneva,VSB4221345-Geneva,9.00 ,10.00 ,576.00 ,33.08,5.71,43.51,4.76,74.3
Cabinets(Geneva):VSB4821345-Geneva,VSB4821345-Geneva,0.00 ,5.00 ,632.00 ,33.08,5.71,49.41,5.40,84.7
Cabinets(Geneva):W0930-Geneva,W0930-Geneva,29.00 ,25.00 ,162.00 ,13.39,5.32,31.70,1.31,19.9
Cabinets(Geneva):W0936-Geneva,W0936-Geneva,9.00 ,15.00 ,215.00 ,13.39,5.32,37.60,1.55,23
Cabinets(Geneva):W0942-Geneva,W0942-Geneva,4.00 ,15.00 ,243.00 ,13.39,5.32,43.51,1.80,26.9
Cabinets(Geneva):W1230-Geneva,W1230-Geneva,80.00 ,75.00 ,190.00 ,13.39,5.91,31.70,1.45,23.4
Cabinets(Geneva):W1236-Geneva,W1236-Geneva,45.00 ,55.00 ,232.00 ,13.39,5.91,37.60,1.73,26.3
Cabinets(Geneva):W1242-Geneva,W1242-Geneva,17.00 ,25.00 ,264.00 ,13.39,5.91,43.51,2.00,32
Cabinets(Geneva):W1530-Geneva,W1530-Geneva,78.00 ,75.00 ,211.00 ,16.34,5.32,31.70,1.60,26.5
Cabinets(Geneva):W1536-Geneva,W1536-Geneva,38.00 ,35.00 ,253.00 ,16.34,5.32,37.60,1.89,30.5
Cabinets(Geneva):W1542-Geneva,W1542-Geneva,16.00 ,20.00 ,296.00 ,16.34,5.32,43.51,2.19,35.3
Cabinets(Geneva):W1830-Geneva,W1830-Geneva,50.00 ,50.00 ,222.00 ,19.30,5.32,31.70,1.89,29.6
Cabinets(Geneva):W1836-Geneva,W1836-Geneva,17.00 ,20.00 ,285.00 ,19.30,5.32,37.60,2.24,34.2
Cabinets(Geneva):W1842-Geneva,W1842-Geneva,20.00 ,20.00 ,317.00 ,19.30,5.32,43.51,2.59,40
Cabinets(Geneva):W2130-Geneva,W2130-Geneva,33.00 ,30.00 ,243.00 ,22.45,5.32,31.70,2.19,34
Cabinets(Geneva):W2136-Geneva,W2136-Geneva,20.00 ,20.00 ,317.00 ,22.45,5.32,37.60,2.60,38.2
Cabinets(Geneva):W2142-Geneva,W2142-Geneva,16.00 ,20.00 ,349.00 ,22.45,5.32,43.51,3.01,45.2
Cabinets(Geneva):W2424-Geneva,W2424-Geneva,10.00 ,10.00 ,243.00 ,25.20,5.91,25.40,2.19,29.8
Cabinets(Geneva):W2430-Geneva,W2430-Geneva,78.00 ,75.00 ,275.00 ,25.20,5.32,31.70,2.46,38
Cabinets(Geneva):W2436-Geneva,W2436-Geneva,64.00 ,60.00 ,328.00 ,25.20,5.32,37.60,2.92,43
Cabinets(Geneva):W2442-Geneva,W2442-Geneva,57.00 ,45.00 ,370.00 ,25.20,5.32,43.51,3.38,50.8
Cabinets(Geneva):W2730-Geneva,W2730-Geneva,37.00 ,45.00 ,296.00 ,28.35,5.32,31.70,2.77,41.3
Cabinets(Geneva):W2736-Geneva,W2736-Geneva,14.00 ,20.00 ,359.00 ,28.35,5.32,37.60,3.28,46.3
Cabinets(Geneva):W2742-Geneva,W2742-Geneva,10.00 ,10.00 ,402.00 ,28.35,5.32,43.51,3.80,55.6
Cabinets(Geneva):W3012-Geneva,W3012-Geneva,89.00 ,80.00 ,190.00 ,13.39,5.91,31.70,1.45,20.8
Cabinets(Geneva):W3015-Geneva,W3015-Geneva,58.00 ,50.00 ,211.00 ,16.34,5.32,31.70,1.60,23.9
Cabinets(Geneva):W3018-Geneva,W3018-Geneva,69.00 ,60.00 ,226.00 ,19.30,5.32,31.70,1.89,26.5
Cabinets(Geneva):W3024-Geneva,W3024-Geneva,55.00 ,50.00 ,269.00 ,25.20,5.32,31.70,2.46,35.3
Cabinets(Geneva):W3030-Geneva,W3030-Geneva,68.00 ,60.00 ,328.00 ,31.50,5.32,31.70,3.08,44.6
Cabinets(Geneva):W3036-Geneva,W3036-Geneva,39.00 ,40.00 ,391.00 ,31.50,5.32,37.60,3.65,49.9
Cabinets(Geneva):W3042-Geneva,W3042-Geneva,25.00 ,30.00 ,423.00 ,31.50,5.32,43.51,4.22,57.1
Cabinets(Geneva):W3312-Geneva,W3312-Geneva,9.00 ,15.00 ,200.00 ,13.39,5.91,34.45,1.58,22.8
Cabinets(Geneva):W3315-Geneva,W3315-Geneva,15.00 ,15.00 ,222.00 ,16.34,5.32,34.45,1.74,25.6
Cabinets(Geneva):W3318-Geneva,W3318-Geneva,10.00 ,10.00 ,243.00 ,19.30,5.32,34.45,2.05,27.6
Cabinets(Geneva):W3324-Geneva,W3324-Geneva,10.00 ,10.00 ,291.00 ,25.20,5.32,34.45,2.67,38.4
Cabinets(Geneva):W3330-Geneva,W3330-Geneva,20.00 ,20.00 ,349.00 ,31.50,5.32,34.45,3.34,49.2
Cabinets(Geneva):W3336-Geneva,W3336-Geneva,15.00 ,15.00 ,412.00 ,34.26,5.32,37.60,3.97,53.8
Cabinets(Geneva):W3342-Geneva,W3342-Geneva,8.00 ,10.00 ,455.00 ,34.26,4.93,43.51,4.25,64.2
Cabinets(Geneva):W3612-Geneva,W3612-Geneva,40.00 ,40.00 ,222.00 ,13.39,5.91,37.60,1.73,23.9
Cabinets(Geneva):W3615-Geneva,W3615-Geneva,20.00 ,20.00 ,243.00 ,16.34,5.32,37.60,1.89,27.4
Cabinets(Geneva):W3618-Geneva,W3618-Geneva,28.00 ,30.00 ,264.00 ,19.30,5.32,37.60,2.24,30.5
Cabinets(Geneva):W3624-Geneva,W3624-Geneva,34.00 ,40.00 ,312.00 ,25.20,5.32,37.60,2.92,41.5
Cabinets(Geneva):W3630-Geneva,W3630-Geneva,40.00 ,40.00 ,381.00 ,31.50,4.93,37.60,3.38,52.5
Cabinets(Geneva):W3636-Geneva,W3636-Geneva,19.00 ,25.00 ,444.00 ,37.41,4.93,37.60,4.01,57.4
Cabinets(Geneva):W3642-Geneva,W3642-Geneva,17.00 ,20.00 ,487.00 ,37.41,4.93,43.51,4.64,70.6
Cabinets(Geneva):W4230-Geneva,W4230-Geneva,20.00 ,20.00 ,434.00 ,31.50,4.93,43.51,3.91,60.5
Cabinets(Geneva):W4830-Geneva,W4830-Geneva,5.00 ,5.00 ,465.00 ,31.50,4.93,49.41,4.44,67.7
Cabinets(Geneva):WEC1230-Geneva,WEC1230-Geneva,15.00 ,25.00 ,261.00 ,13.39,13.19,31.70,1.62,18.8
Cabinets(Geneva):WEC1236-Geneva,WEC1236-Geneva,6.00 ,10.00 ,282.00 ,13.39,13.19,37.60,1.93,21.9
Cabinets(Geneva):WEC1242-Geneva,WEC1242-Geneva,10.00 ,10.00 ,303.00 ,13.39,13.19,43.51,2.23,25.8
Cabinets(Geneva):WMD1530-Geneva,WMD1530-Geneva,10.00 ,10.00 ,188.00 ,15.95,1.78,30.12,0.50,8.6
Cabinets(Geneva):WMD1536-Geneva,WMD1536-Geneva,10.00 ,10.00 ,209.00 ,15.95,1.78,36.03,0.59,10.2
Cabinets(Geneva):WMD1542-Geneva,WMD1542-Geneva,5.00 ,5.00 ,243.00 ,15.95,1.78,41.93,0.69,12
Cabinets(Geneva):WMD1830-Geneva,WMD1830-Geneva,10.00 ,10.00 ,230.00 ,19.10,1.78,30.12,0.59,10.2
Cabinets(Geneva):WMD1836-Geneva,WMD1836-Geneva,10.00 ,10.00 ,251.00 ,19.10,1.78,36.03,0.71,12.4
Cabinets(Geneva):WMD1842-Geneva,WMD1842-Geneva,8.00 ,10.00 ,282.00 ,19.10,1.78,41.93,0.83,14.8
Cabinets(Geneva):WMD3030-Geneva,WMD3030-Geneva,10.00 ,10.00 ,377.00 ,16.15,2.56,30.12,0.72,16.1
Cabinets(Geneva):WMD3036-Geneva,WMD3036-Geneva,10.00 ,10.00 ,419.00 ,16.15,2.56,36.03,0.87,19.7
Cabinets(Geneva):WMD3042-Geneva,WMD3042-Geneva,3.00 ,5.00 ,461.00 ,16.15,2.56,41.93,1.01,22.8
Cabinets(Geneva):WMD3630-Geneva,WMD3630-Geneva,5.00 ,5.00 ,461.00 ,19.30,2.56,30.12,0.87,19.2
Cabinets(Geneva):WMD3636-Geneva,WMD3636-Geneva,4.00 ,5.00 ,503.00 ,19.30,2.56,36.03,1.03,22.8
Cabinets(Geneva):WMD3642-Geneva,WMD3642-Geneva,5.00 ,5.00 ,566.00 ,19.30,2.56,41.93,1.20,27.4
Cabinets(Geneva):WN630-Geneva,WN630-Geneva,30.00 ,25.00 ,135.00 ,8.08,31.89,13.59,2.03,10.6
Cabinets(Geneva):WN636-Geneva,WN636-Geneva,14.00 ,15.00 ,146.00 ,8.08,37.80,13.59,2.40,11.7
Cabinets(Geneva):WN642-Geneva,WN642-Geneva,13.00 ,15.00 ,156.00 ,8.08,43.71,13.59,2.78,13.7
Cabinets(Geneva):WR3015-Geneva,WR3015-Geneva,9.00 ,15.00 ,335.00 ,32.09,16.93,14.38,4.52,23.2
Cabinets(Geneva):WR3615-Geneva,WR3615-Geneva,9.00 ,15.00 ,377.00 ,38.00,16.93,14.38,5.35,26.5
Cabinets(Newport),,,0.00 ,0.00 ,,,,,
Cabinets(Newport):B09-Newport,B09-Newport Base Pantry Pull Out Cabinet,67.00 ,66.00 ,299.00 ,11.23,36.42,27.17,6.43,41.8
Cabinets(Newport):B12-Newport,B12-Newport,136.00 ,78.00 ,239.00 ,25.2,5.71,36.03,3,40.9
Cabinets(Newport):B15-Newport,B15-Newport,79.00 ,175.00 ,259.00 ,25.2,5.71,36.03,3,44.9
Cabinets(Newport):B18-Newport,B18-Newport,69.00 ,94.00 ,269.00 ,25.2,5.71,36.03,3,48.6
Cabinets(Newport):B21-Newport,B21-Newport,77.00 ,43.00 ,289.00 ,25.2,5.71,36.03,3,52.8
Cabinets(Newport):B24-Newport,B24-Newport,128.00 ,60.00 ,319.00 ,25.2,5.71,38.78,3.23,57.9
Cabinets(Newport):B27-Newport,B27-Newport,60.00 ,44.00 ,339.00 ,28.35,5.71,38.78,3.64,61.6
Cabinets(Newport):B30-Newport,B30-Newport,63.00 ,96.00 ,379.00 ,31.5,5.71,38.78,4.04,66
Cabinets(Newport):B33-Newport,B33-Newport,38.00 ,31.00 ,419.00 ,33.08,5.71,36.03,3.94,75.9
Cabinets(Newport):B36-Newport,B36-Newport,112.00 ,62.00 ,439.00 ,33.08,5.71,37.6,4.11,80.5
Cabinets(Newport):B42-Newport,B42-Newport,21.00 ,10.00 ,469.00 ,33.08,5.71,43.51,4.76,94.6
Cabinets(Newport):B48-Newport,B48-Newport,37.00 ,5.00 ,539.00 ,33.08,5.71,49.41,5.4,99.7
Cabinets(Newport):BECF24-Newport,BECF24-Newport,29.00 ,0.00 ,309.00 ,25.2,6.11,36.03,3.21,53.700
Cabinets(Newport):BM8-Newport,BM8-Newport,49.00 ,0.00 ,209.00 ,1.19,0.79,19.49,0.27,28.600
Cabinets(Newport):BP4896-Newport,BP4896-Newport,268.00 ,0.00 ,239.00 ,49.22,0.91,97.45,2.52,44.400
Cabinets(Newport):BWNT9-Newport,BWNT9-Newport,14.00 ,5.00 ,249.00 ,11.23,31.89,25.6,5.3,49.500
Cabinets(Newport):DB12-Newport,DB12-Newport,31.00 ,52.00 ,349.00 ,25.2,6.89,38.78,3.9,59.8
Cabinets(Newport):DB15-Newport,DB15-Newport,164.00 ,47.00 ,389.00 ,25.2,6.89,38.78,3.9,65.1
Cabinets(Newport):DB18-Newport,DB18-Newport,68.00 ,45.00 ,409.00 ,25.2,6.89,38.78,3.9,71.1
Cabinets(Newport):DB21-Newport,DB21-Newport,28.00 ,10.00 ,419.00 ,25.2,6.89,38.78,3.9,75.7
Cabinets(Newport):DB24-Newport,DB24-Newport,81.00 ,19.00 ,439.00 ,25.2,6.89,38.78,3.9,81.4
Cabinets(Newport):DC2430-Newport,DC2430-Newport,144.00 ,20.00 ,339.00 ,20.08,8.08,34.45,3.24,53.9
Cabinets(Newport):DC2436-Newport,DC2436-Newport,35.00 ,42.00 ,379.00 ,20.08,8.08,37.6,3.53,56.8
Cabinets(Newport):DC2442-Newport,DC2442-Newport,56.00 ,26.00 ,389.00 ,20.08,8.86,43.51,4.48,67.3
Cabinets(Newport):DC2736-Newport,DC2736-Newport,7.00 ,5.00 ,399.00 ,24.41,8.08,37.6,4.29,56.8
Cabinets(Newport):DC2742-Newport,DC2742-Newport,9.00 ,5.00 ,439.00 ,24.41,8.86,43.51,5.45,79.2
Cabinets(Newport):DCMD2430-Newport,DCMD2430-Newport Mullion Door Only,32.00 ,1.00 ,199.00 ,16.15,1.78,30.12,0.50,8.9
Cabinets(Newport):DCMD2436-Newport,DCMD2436-Newport Mullion Door Only,15.00 ,5.00 ,229.00 ,16.15,1.78,36.03,0.60,10.4
Cabinets(Newport):DCMD2442-Newport,DCMD2442-Newport Mullion Door Only,10.00 ,5.00 ,249.00 ,16.15,1.78,41.93,0.70,11.7
Cabinets(Newport):DCMD2736-Newport,DCMD2736-Newport Mullion Door Only,6.00 ,5.00 ,229.00 ,16.15,1.78,36.03,0.60,10.4
Cabinets(Newport):DCMD2742-Newport,DCMD2742-Newport Mullion Door Only,5.00 ,5.00 ,249.00 ,16.15,1.78,41.93,0.70,11.7
Cabinets(Newport):F330-Newport,F330-Newport,521.00 ,150.00 ,59.00 ,0.91,0.4,3.17,0.07,1.900
Cabinets(Newport):F342-Newport,F342-Newport,388.00 ,100.00 ,79.00 ,0.91,0.4,4.36,0.09,2.700
Cabinets(Newport):F396-Newport,F396-Newport,178.00 ,46.00 ,149.00 ,1.03,0.79,19.49,0.23,6.100
Cabinets(Newport):F531A45-Newport,F531A45-Newport,27.00 ,0.00 ,139.00 ,0.91,0.63,3.17,0.11,2.400
Cabinets(Newport):F630-Newport,F630-Newport,188.00 ,100.00 ,89.00 ,0.91,0.71,3.17,0.12,3.300
Cabinets(Newport):F642-Newport,F642-Newport,181.00 ,0.00 ,99.00 ,0.91,0.71,4.36,0.17,4.500
Cabinets(Newport):F696-Newport,F696-Newport,173.00 ,31.00 ,209.00 ,1.46,0.99,19.49,0.41,11.200
Cabinets(Newport):FF396-Newport,FF396-Newport,50.00 ,0.00 ,219.00 ,1.03,0.79,19.49,0.23,3.700
Cabinets(Newport):FFROS3X3-Newport,FFROS3X3-Newport,96.00 ,0.00 ,79.00 ,0.42,0.67,0.44,0.01,0.200
Cabinets(Newport):LRB30-Newport,LRB30-Newport,39.00 ,0.00 ,509.00 ,31.5,6.89,38.78,4.87,98.400
Cabinets(Newport):LRB36-Newport,LRB36-Newport,17.00 ,5.00 ,539.00 ,33.08,6.89,37.6,4.96,105.2
Cabinets(Newport):LRM8-Newport,LRM8-Newport,42.00 ,20.00 ,109.00 ,1.03,0.48,19.49,0.14,3.400
Cabinets(Newport):MCROWN-S-Newport,MCROWN-S-Newport,166.00 ,0.00 ,189.00 ,98.4,4.7,11.8,3.158,3.900
Cabinets(Newport):MCROWN1-Newport,MCROWN1-Newport,85.00 ,4.00 ,99.00 ,0.95,0.56,19.49,0.15,1.500
Cabinets(Newport):MCROWN2-Newport,MCROWN2-Newport,252.00 ,50.00 ,109.00 ,0.95,0.79,19.49,0.21,2.700
Cabinets(Newport):MCROWN3-Newport,MCROWN3-Newport,282.00 ,55.00 ,189.00 ,1.15,1.11,19.49,0.36,3.900
Cabinets(Newport):MCV8-Newport,MCV8-Newport,84.00 ,23.00 ,59.00 ,0.52,0.24,9.75,0.07,1.100
Cabinets(Newport):MOC8-Newport,MOC8-Newport,102.00 ,31.00 ,59.00 ,0.32,0.3,9.75,0.06,1.000
Cabinets(Newport):MSW8-Newport,MSW8-Newport,257.00 ,220.00 ,59.00 ,0.18,0.12,4.88,0.03,0.600
Cabinets(Newport):OC3084-Newport,OC3084-Newport  (customer must cut out to install oven),6.00 ,5.00 ,"1,299.00 ",31.5,6.5,85.63,10.14,167.200
Cabinets(Newport):OC3090-Newport,OC3090-Newport  (customer must cut out to install oven),5.00 ,12.00 ,"1,399.00 ",31.5,6.5,91.54,10.84,170.000
Cabinets(Newport):OC3096-Newport,OC3096-Newport  (customer must cut out to install oven),12.00 ,0.00 ,"1,499.00 ",31.5,6.5,97.45,11.54,182.800
