Selected pages sharing settings;Pages sélectionnées: paramètres de partage;
Send;Envoyer;
Sep;Sep;
Share;Partager;
Share page;Partager page;
Share selected pages;Partager page sélectionnée;
Share your emotions and best moments of your life with your family;Partager vos émotions et meilleurs moment de vie avec votre famille;?
Share your emotions with your family, common events with friends and colleagues, and remember them, %sAll together for life!%s;Partagez vos émotions en famille, vos événements avec vos amis et collègues, et conservez %sle souvenir de chaque anecdote!%s;
Sharing;Partage;
Sign up;Se connecter;
Social;Social;
Stack trace;Stack trace;
Start Period;Début de période;
Storage;Stockage;
Subject;Sujet;
"Terms &amp;  Conditions";"Termes &amp; Conditions";
Thanks!;Merci!;
The LINKAVIE team;L'équipe LINKAVIE;
Title;Titre;
To access the content, please click on the following button.;Pour accéder au contenu, veuillez cliquer sur le bouton suivant.;
"To add the content to this album click ""Add"" button.";"Pour ajouter ce contenu à cet album, cliquez sur le bouton ""Ajouter"".";
Total storage;Stockage total;
Twitter;Twitter;
Type;Type;
Unselect All;Désélectionner Tout;
Update;Mise à jour;
Users;Utilisateurs;
View;Voir;Not sure if it is name or verb here ?
View shared content;Voir le contenu partagé;
We are really excited and happy to welcome you on our LINKAVIE Beta program!;Nous sommes très heureux de vous accueillir pour ce lancement du programme Beta de LINKAVIE !;
We hope you will enjoy using LINKAVIE, as our wish is<br>to bring high value to your Digital life.;Nous espérons que vous aurez beaucoup de plaisir à utiliser LINKAVIE<br> pour partager et conserver tous les souvenirs de votre vie.;
WE THANK YOU SO MUCH for your participation!;NOUS VOUS SOMMES TRÈS RECONNAISSANTS DE VOTRE PARTICIPATION!;
Welcome to LINKAVIE;Bienvenue sur LINKAVIE;
With LINKAVIE, you can share your Digital life with your friends and family in a very simple and secured way, create events, digital albums by your own or collaboratively with other friends or colleagues, print  albums and much more.;Avec LINKAVIE, vous pouvez créer et partager vos albums de vie avec vos amis, vos collègues ou votre famille en toute simplicité et confidentialité. Vous pouvez créer des albums à l'occasion de vos événements, seul ou à plusieurs, imprimer vos albums et en conserver le souvenir...;
Wooden Lines;Wooden Lines;
Yes;Oui;
You do not have any content in this album.;Vous n'avez pas de contenu dans cet album;
You first chapter title;Titre de votre premier chapitre;
You first page title;Titre de votre première page;
Youtube;Youtube;
« Remember yesterday, remember 10 years ago,<br> Let\'s live it again in 20 years time... »;« Rappelle toi hier, souviens toi il y a 10 ans,<br> revivons ça dans 20 ans... »;
